codigo,descricao,uq,rg,sadc,ua,requisitos,observacao
2907.22.00,-- Hidroquinona e seus sais……………………………………..,Kg,Livre,,,,
2907.23.00,"-- 4,4'- Isopropilidenodifenol (bisfenol A, difenilolpropano) e seus sais…………",Kg,Livre,,,,
2907.29.00,-- Outros……………………………………….............................,Kg,Livre,,,,
29.08,"Derivados halogenados, sulfonados, nitrados ou nitrosados dos fenóis ou dos fenóis-álcoois.",,,,,,
,- Derivados apenas halogenados e seus sais:,,,,,,
2908.11.00,-- Pentaclorofenol (ISO)………………………..........................,Kg,Livre,,,,
2908.19.00,-- Outros………………………………………...………………,Kg,Livre,,,,
,- Outros:,,,,,,
2908.91.00,-- Dinosebe (ISO) e seus sais…………………...……………..,Kg,Livre,,,,
2908.92.00,"-- 4,6 –Dinitro-o-cresol (NDOC (ISO)) e seus sais……………",Kg,Livre,,,,
2908.99.00,-- Outros………………………………………...........................,Kg,Livre,,,,
,"IV. ÉTERES, PERÓXIDOS DE ÁLCOOIS, PERÓXIDOS DE ÉTERES, PERÓXIDOS DE ACETAIS E DE HEMIACETAIS, PERÓXIDOS DE CETONAS, EPÓXIDOS COM TRÊS ÁTOMOS NO CICLO, ACETAIS E HEMIACETAIS, E SEUS DERIVADOS HALOGENADOS, SULFONADOS, NITRADOS OU NITROSADOS",,,,,,
29.09,"Éteres, éteres-álcoois, éteres-fenóis, éteres-álcoois-fenóis, peróxidos de álcoois, peróxidos de éteres, peróxidos de acetais e de hemiacetais, peróxidos de cetonas (de constituição química definida ou  não), e seus derivados halogenados, sulfonados, nitrados ou nitrosados",,,,,,
,"- Éteres acíclicos e seus derivados halogenados, sulfonados, nitrados ou nitrosados:",,,,,,
2909.11.00,-- Éter dietílico (óxido de dietilo)………………………………,Kg,Livre,,,,
2909.19.00,-- Outros………………………………………...………………,Kg,Livre,,,,
2909.20.00,"-  Éteres ciclânicos, ciclénicos, cicloterpénicos, e seus derivados
halogenados, sulfonados, nitrados ou nitrosados………………..",Kg,Livre,,,,
2909.30.00,"-  Éteres  aromáticos  e seus  derivados  halogenados, sulfonados,
nitrados ou nitrosados……………………………………….........",Kg,Livre,,,,
,"-  Éteres- álcoois e seus derivados halogenados, sulfonados, nitrados ou nitrosados:",,,,,,
2909.41.00,"-- 2, 2'- Oxidietanol (dietilenoglicol)……………………………",Kg,Livre,,,,
2909.43.00,-- Éteres monobutílicos do etilenoglicol ou do dietilenoglicol…,Kg,Livre,,,,
2909.44.00,"--   Outros  éteres  monoalquílicos  do  etilenoglicol  ou  do
dietilenoglicol……………………………………………………",Kg,Livre,,,,
2909.49.00,-- Outros………………………………………………………...,Kg,Livre,,,,
2909.50.00,"-  Éteres-fenóis, éteres-álcoois-fenóis, e seus derivados halogenados,
sulfonados, nitrados ou nitrosados………………...",Kg,Livre,,,,
2909.60.00,"-  Peróxidos de álcoois, peróxidos de éteres, peróxidos de acetais e de hemiacetais, peróxidos de cetonas, e seus derivados halogenados, sulfonados,                   nitrados                   ou
nitrosados……………………………………….........................",Kg,Livre,,,,
29.10,"Epóxidos,  epoxiálcoois,  epoxifenóis  e  epoxiéteres,  com  três átomos  no  ciclo,  e  seus  derivados  halogenados,  sulfonados, nitrados ou nitrosados.",,,,,,
2910.10.00,- Oxirano (óxido de etileno)……………………………………..,Kg,Livre,,,,
2910.20.00,- Metiloxirano (óxido de propileno)……………...........................,Kg,Livre,,,,
2910.30.00,"- 1- Cloro- 2,3- epoxipropano (epicloridrina)……………………",Kg,Livre,,,,
2910.40.00,"- Dieldrina (ISO, DCI)…………………………..........................",Kg,Livre,,,,
2910.50.00,- Endrina ( I S O ) … … … … … … … … … … … … … … . .,Kg,Livre,,,,
2910.90.00,- Outros………………………………………………………….,Kg,Livre,,,,
2911.00.00,"Acetais e hemiacetais, mesmo que contenham outras funções oxigenadas, e seus derivados halogenados, sulfonados, nitrados ou nitrosados…………",Kg,Livre,,,,
,V. COMPOSTOS DE FUNÇÃO ALDEÍDO,,,,,,
29.12,"Aldeídos, mesmo que contenham outras funções oxigenadas; polímeros cíclicos dos aldeídos; paraformaldeído.",,,,,,
,- Aldeídos acíclicos que não contenham outras funções oxigenadas:,,,,,,
2912.11.00,-- Metanal (formaldeído)………………………………………..,Kg,Livre,,,,
2912.12.00,-- Etanal (acetaldeído)…………………………………………..,Kg,Livre,,,,
2912.19.00,-- Outros………………………………………………………...,Kg,Livre,,,,
,- Aldeídos cíclicos que não contenham outras funções oxigenadas:,,,,,,
2912.21.00,-- Benzaldeído (aldeído benzóico)……………………………...,Kg,Livre,,,,
2912.29.00,-- Outros………………………………………………………...,Kg,Livre,,,,
,"- Aldeídos-álcoois, aldeídos-éteres, aldeídos-fenóis e aldeídos que contenham outras funções oxigenadas:",,,,,,
2912.41.00,-- Vanilina (aldeído metilprotocatéquico)………………………,Kg,Livre,,,,
2912.42.00,-- Etilvanilina (aldeído etilprotocatéquico)……………………..,Kg,Livre,,,,
2912.49.00,-- Outros………………………………………………………...,Kg,Livre,,,,
2912.50.00,- Polímeros cíclicos dos aldeídos………………………………..,Kg,Livre,,,,
2912.60.00,- Paraformaldeído……………………………………………….,Kg,Livre,,,,
2913.00.00,"Derivados halogenados, sulfonados, nitrados ou nitrosados dos produtos da posição 29.12…",Kg,Livre,,,,
,VI. COMPOSTOS DE FUNÇÃO CETONA OU DE FUNÇÃO QUINONA,,,,,,
29.14,"Cetonas e quinonas, mesmo que contenham outras funções oxigenadas, e seus derivados halogenados, sulfonados, nitrados ou nitrosados.",,,,,,
,- Cetonas acíclicas que não contenham outras funções oxigenadas:,,,,,,
2914.11.00,-- Acetona………………………………………………….….,Kg,Livre,,,,
2914.12.00,-- Butanona (metiletilcetona)…………………………………,Kg,Livre,,,,
2914.13.00,-- 4- Metilpentan- 2- ona (metilisobutilcetona)………………,Kg,Livre,,,,
2914.19.00,-- Outras……………………….............................................,Kg,Livre,,,,
,"- Cetonas ciclânicas, ciclénicas ou cicloterpénicas que não contenham outras funções oxigenadas:",,,,,,
2914.22.00,-- Ciclo-hexanona e metilciclo-hexanonas……………………….,Kg,Livre,,,,
2914.23.00,-- Iononas e metiliononas…………………………………….,Kg,Livre,,,,
2914.29.00,-- Outras……………………………………………………….,Kg,Livre,,,,
,- Cetonas aromáticas que não contenham outras funções oxigenadas:,,,,,,
2914.31.00,-- Fenilacetona (fenilpropan-2-ona)………………..………..,Kg,Livre,,,,
2914.39.00,-- Outras……………………………………………….……….,Kg,Livre,,,,
2914.40.00,- Cetonas-álcoois e cetonas-aldeídos………………………….,Kg,Livre,,,,
2914.50.00,- Cetonas-fenóis e cetonas que contenham outras funções oxigenadas…………………,Kg,Livre,,,,
,- Quinonas:,,,,,,
2914.61.00,-- Antraquinona………………………………………………..,Kg,Livre,,,,
2914.62.00,-- Coenzima Q10 (ubidecarenona (DCI))………………………,Kg,Livre,,,,
2914.69.00,-- Outras………………………………………………………..,Kg,Livre,,,,
,"- Derivados halogenados, sulfonados, nitrados ou nitrosados:",,,,,,
2914.71.00,-- Clordecona(ISO)………………………………………………,Kg,Livre,,,,
2914.79.00,-- Outros………………………………………………………….,Kg,Livre,,,,
,"VII. ÁCIDOS CARBOXÍLICOS, SEUS ANIDRIDOS, HALOGENETOS, PERÓXIDOS E PEROXIÁCIDOS; SEUS DERIVADOS HALOGENADOS, SULFONADOS, NITRADOS
OU NITROSADOS",,,,,,
29.15,"Ácidos monocarboxílicos acíclicos saturados e seus anidridos, halogenetos,   peróxidos   e   peroxiácidos;   seus   derivados halogenados, sulfonados, nitrados ou nitrosados.",,,,,,
,"- Ácido fórmico, seus sais e seus ésteres:",,,,,,
2915.11.00,-- Ácido fórmico………………………………………………..,Kg,Livre,,,,
2915.12.00,-- Sais do ácido fórmico………………………………………...,Kg,Livre,,,,
2915.13.00,-- Ésteres do ácido fórmico……………………………………,Kg,Livre,,,,
,- Ácido acético e seus sais; anidrido acético:,,,,,,
2915.21.00,-- Ácido acético………………………………………………..,Kg,Livre,,,,
2915.24.00,-- Anidrido acético……………………………………………,Kg,Livre,,,,
2915.29.00,-- Outros………………………………………………………,Kg,Livre,,,,
,- Ésteres do ácido acético:,,,,,,
2915.31.00,-- Acetato de etilo……………………………………………..,Kg,Livre,,,,
2915.32.00,-- Acetato de vinilo………………………………....................,Kg,Livre,,,,
2915.33.00,-- Acetato de n- butilo……………………………....................,Kg,Livre,,,,
2915.36.00,-- Acetato de dinosebe (ISO)…………………………………..,Kg,Livre,,,,
2915.39.00,-- Outros………………………………………………………..,Kg,Livre,,,,
2915.40.00,"- Ácidos mono- , di- ou tricloroacéticos, seus sais e seus ésteres………………………",Kg,Livre,,,,
2915.50.00,"- Ácido propiónico, seus sais e seus ésteres…………………..",Kg,Livre,,,,
2915.60.00,"- Ácidos butanoicos, ácidos pentanoicos, seus sais e seus ésteres………………………",Kg,Livre,,,,
2915.70.00,"- Ácido palmítico, ácido esteárico, seus sais e seus ésteres……………………………………",Kg,Livre,,,,
2915.90.00,- Outros…………………………………………………………,Kg,Livre,,,,
29.16,"Ácidos  monocarboxílicos  acíclicos  não  saturados  e  ácidos monocarboxílicos cíclicos, seus anidridos, halogenetos, peróxidos e peroxiácidos; seus derivados halogenados, sulfonados, nitrados ou nitrosados.",,,,,,
,"- Ácidos monocarboxílicos acíclicos não saturados, seus anidridos, halogenetos, peróxidos e peroxiácidos e seus derivados:",,,,,,
2916.11.00,-- Ácido acrílico e seus sais……………………………………,Kg,Livre,,,,
2916.12.00,-- Ésteres do ácido acrílico…………………………………….,Kg,Livre,,,,
2916.13.00,-- Ácido metacrílico e seus sais……………………………….,Kg,Livre,,,,
2916.14.00,-- Ésteres do ácido metacrílico………………………………..,Kg,Livre,,,,
2916.15.00,"-- Ácidos oleico, linoleico ou linolénico, seus sais e seus ésteres………………………………………",Kg,Livre,,,,
2916.16.00,-- Binapacril (ISO)……………………………………………..,Kg,Livre,,,,
2916.19.00,-- Outros………………………………………………………..,Kg,Livre,,,,
2916.20.00,"- Ácidos monocarboxílicos ciclânicos, ciclénicos ou cicloterpénicos, seus anidridos, halogenetos, eróxidos,  peroxiácidos e seus derivados………………………………….",Kg,Livre,,,,
,"-  Ácidos monocarboxílicos aromáticos, seus anidridos, halogenetos, peróxidos, peroxiácidos e seus derivados:",,,,,,
2916.31.00,"-- Ácido benzóico, seus sais e seus ésteres…………………..",Kg,Livre,,,,
2916.32.00,-- Peróxido de benzóilo e cloreto de benzóilo……………….,Kg,Livre,,,,
2916.34.00,-- Ácido fenilacético e seus sais……………………………….,Kg,Livre,,,,
2916.39.00,-- Outros…………………………………………………………,Kg,Livre,,,,
29.17,"Ácidos policarboxílicos, seus anidridos, halogenetos, peróxidos e peroxiácidos; seus derivados halogenados, sulfonados, nitrados ou nitrosados.",,,,,,
,"- Ácidos policarboxílicos acíclicos, seus anidridos, halogenetos, peróxidos, peroxiácidos e seus derivados:",,,,,,
2917.11.00,"-- Ácido oxálico, seus sais e seus ésteres……………………...",Kg,Livre,,,,
2917.12.00,"-- Ácido adípico, seus sais e seus ésteres……………………..",Kg,Livre,,,,
2917.13.00,"-- Ácido azelaico, ácido sebácico, seus sais e seus ésteres………………………………………",Kg,Livre,,,,
2917.14.00,-- Anidrido maleico……………………………………………,Kg,Livre,,,,
2917.19.00,-- Outros……………………………………………………….,Kg,Livre,,,,
2917.20.00,"- Ácidos policarboxílicos ciclânicos, ciclénicos ou cicloterpénicos, seus anidridos, halogenetos, peróxidos,  peroxiácidos e seus derivados…………………………………..",Kg,Livre,,,,
,"- Ácidos policarboxílicos aromáticos, seus anidridos, halogenetos, peróxidos, peroxiácidos e seus derivados:",,,,,,
2917.32.00,-- Ortoftalatos de dioctilo………………………………………,Kg,Livre,,,,
2917.33.00,-- Ortoftalatos de dinonilo ou de didecilo…………………….,Kg,Livre,,,,
2917.34.00,-- Outros ésteres do ácido ortoftálico…………………………,Kg,Livre,,,,
2917.35.00,-- Anidrido ftálico……………………………………………..,Kg,Livre,,,,
2917.36.00,-- Ácido tereftálico e seus sais………………………………..,Kg,Livre,,,,
2917.37.00,-- Tereftalato de dimetilo………………………………………,Kg,Livre,,,,
2917.39.00,-- Outros………………………………………………………..,Kg,Livre,,,,
29.18,"Ácidos carboxílicos que contenham funções oxigenadas suplementares e seus anidridos, halogenetos,  peróxidos e peroxiácidos; seus derivados halogenados, sulfonados, nitrados ou nitrosados.",,,,,,
,"-  Ácidos carboxílicos de função  álcool mas sem outra função oxigenada, seus anidridos, halogenetos, peróxidos, peroxiácidos e seus derivados:",,,,,,
2918.11.00,"-- Ácido láctico, seus sais e seus ésteres………………………",Kg,Livre,,,,
2918.12.00,-- Ácido tartárico……………………………………………….,Kg,Livre,,,,
2918.13.00,-- Sais e ésteres do ácido tartárico………………………….….,Kg,Livre,,,,
2918.14.00,-- Ácido cítrico…………………………………………………,Kg,Livre,,,,
2918.15.00,-- Sais e ésteres do ácido cítrico…………………………….…,Kg,2,,,,
2918.16.00,"-- Ácido glucónico, seus sais e seus ésteres…………………….",Kg,Livre,,,,
2918.17.00,"-- Ácido 2,2-difenil-2-hidroxiacético (ácido benzílico)",Kg,Livre,,,,
2918.18.00,-- Clorobenzilato (ISO)………………………….……………..,Kg,Livre,,,,
2918.19.00,-- Outros…………………………………………………….….,Kg,Livre,,,,
,"-  Ácidos  carboxílicos de função  fenol, mas  sem  outra  função oxigenada, seus anidridos, halogenetos, peróxidos, peroxiácidos e seus derivados:",,,,,,
2918.21.00,-- Ácido salicílico e seus sais…………………………………,Kg,Livre,,,,
2918.22.00,"-- Ácido o- acetilsalicílico, seus sais e seus ésteres…………..",Kg,Livre,,,,
2918.23.00,-- Outros ésteres do ácido salicílico e seus sais…………………,Kg,Livre,,,,
2918.29.00,-- Outros………………………………………….,Kg,Livre,,,,
2918.30.00,"-  Ácidos carboxílicos de função aldeído ou cetona, mas sem outra função   oxigenada,   seus   anidridos,   halogenetos,   peróxidos, peroxiácidos e seus derivados……………………………………",Kg,Livre,,,,
,- Outros:,,,,,,
2918.91.00,"-- 2,4,5-T (ISO) (acido 2,4,5-triclorofenoxiacético), seus sais e seus ésteres………………………………",Kg,Livre,,,,
2918.99.00,-- Outros………………………………………………………..,Kg,Livre,,,,
,"VIII. ÉSTERES DOS ÁCIDOS INORGÂNICOS DE NÃO METAIS E SEUS SAIS; SEUS DERIVADOS HALOGENADOS, SULFONADOS, NITRADOS OU NITROSADOS",,,,,,
29.19,"Ésteres fosfóricos e seus sais, incluindo os lactofosfatos; seus derivados halogenados, sulfonados, nitrados ou nitrosados.",,,,,,
2919.10.00,"- Fosfato de tris (2,3-dibromopropilo)…………..........................",Kg,Livre,,,,
2919.90.00,- Outros………………………………………………………….,Kg,Livre,,,,
29.20,"Ésteres de outros ácidos inorgânicos de não metais (excepto os ésteres de halogenetos de hidrogénio) e seus sais; seus derivados halogenados, sulfonados, nitrados ou nitrosados.",,,,,,
,"- Ésteres tiofosfóricos (fosforotioatos) e seus sais; seus derivados halogenados, sulfonados, nitrados ou nitrosados:",,,,,,
2920.11.00,-- Paratião (ISO) e paratião-metilo (ISO) (metilo paratião)……………………………,Kg,Livre,,,,
2920.19.00,-- Outros………………………………………………………,Kg,Livre,,,,
,"- Ésteres  de  fosfitos  e  seus  sais;  seus  derivados  halogenados, sulfonados, nitrados ou nitrosados:",,,,,,
2920.21.00,-- Fosfito de dimetilo……………………………………………,Kg,Livre,,,,
2920.22.00,-- Fosfito de dietilo……………………………………………...,Kg,Livre,,,,
2920.23.00,-- Fosfito de trimetilo…………………………………………...,Kg,Livre,,,,
2920.24.00,-- Fosfito de trietilo……………………………………………..,Kg,Livre,,,,
2920.29.00,-- Outros………………………………..……………………….,Kg,Livre,,,,
2920.30.00,- Endossulfão(ISO)………………………………………..…….,Kg,Livre,,,,
2920.90.00,- Outros………………………………………………………….,Kg,Livre,,,,
,IX. COMPOSTOS DE FUNÇÕES AZOTADAS (NITROGENADAS),,,,,,
29.21,Compostos de função amina.,,,,,,
,- Monoaminas acíclicas e seus derivados; sais destes produtos:,,,,,,
2921.11.00,"-- Mono- , di- ou trimetilamina e seus sais…………….……",Kg,Livre,,,,
2921.12.00,"-- Cloridrato de 2-cloroetil(N,N-dimetilamina)……….……..",Kg,Livre,,,,
2921.13.00,"-- Cloridrato de 2-cloroetil(N,N-dietilamina)………….…….",Kg,Livre,,,,
2921.14.00,"-- Cloridrato de 2-cloroetil(N,N-diisopropilamina)…………",Kg,Livre,,,,
2921.19.00,-- Outros…………………………………………..…………,Kg,Livre,,,,
,- Poliaminas acíclicas e seus derivados; sais destes produtos:,,,,,,
2921.21.00,-- Etilenodiamina e seus sais……………………….……….,Kg,Livre,,,,
2921.22.00,-- Hexametilenodiamina e seus sais……………….………..,Kg,Livre,,,,
2921.29.00,-- Outros………………………………………..…………….,Kg,Livre,,,,
2921.30.00,"- Monoaminas e poliaminas, ciclânicas, ciclénicas ou cicloterpénicas, e seus derivados; sais destes produtos",Kg,Livre,,,,
,- Monoaminas aromáticas e seus derivados; sais destes produtos:,,,,,,
2921.41.00,-- Anilina e seus sais………………………….……………..,Kg,Livre,,,,
2921.42.00,-- Derivados da anilina e seus sais………………….………,Kg,Livre,,,,
2921.43.00,-- Toluidinas e seus derivados; sais destes produtos…………,Kg,Livre,,,,
2921.44.00,-- Difenilamina e seus derivados; sais destes produtos………,Kg,Livre,,,,
2921.45.00,"-- 1- Naftilamina (alfa- naftilamina), 2- naftilamina (beta- naftilamina), e seus derivados; sais destes produtos……………………………………………………………………………………….",Kg,Livre,,,,
2921.46.00,"-- Anfetamina (DCI), benzofetamina (DCI), dexanfetamina (DCI), etilanfetamina (DCI), fencanfamina  (DCI), fentermina (DCI), lefetamina (DCI), levanfetamina (DCI) e mefenorex (DCI); sais destes produtos",Kg,Livre,,,,
2921.49.00,-- Outros………………………………………..…………….,Kg,Livre,,,,
,- Poliaminas aromáticas e seus derivados; sais destes produtos:,,,,,,
2921.51.00,"-- o- , m- , p- Fenilenodiamina, diaminotoluenos e seus derivados; sais destes produtos…",Kg,Livre,,,,
2921.59.00,-- Outros………………………………………..…………….,Kg,Livre,,,,
29.22,Compostos aminados de funções oxigenadas.,,,,,,
,"- Aminoálcoois, excepto os que contenham mais de um tipo de função oxigenada, seus éteres e seus ésteres; sais destes produtos:",,,,,,
2922.11.00,-- Monoetanolamina e seus sais……………………...……….,Kg,Livre,,,,
2922.12.00,-- Dietanolamina e seus sais…………………………...……..,Kg,Livre,,,,
2922.14.00,-- Dextropropoxifeno (DCI) e seus sais………………………,Kg,Livre,,,,
2922.15.00,-- Trietanolamina……………………………………………..,Kg,Livre,,,,
2922.16.00,-- Perfluoro-octanossulfonato de dietanolamónio……………...,Kg,Livre,,,,
2922.17.00,-- Metildietanolamina e etildietanolamina…………………….,Kg,Livre,,,,
2922.18.00,"-- 2-(N,N-diisopropilamino)etanol…………………………….",Kg,Livre,,,,
2922.19.00,-- Outros…………………………………………..………….,Kg,Livre,,,,
,"-  Aminonaftóis e outros aminofenóis, excepto os que contenham mais de um tipo de função oxigenada, seus éteres e ésteres; sais
destes produtos:",,,,,,
2922.21.00,-- Ácidos amino-hidroxinaftalenossulfónicos e seus sais……..,Kg,Livre,,,,
2922.29.00,-- Outros……………………………………………...……….,Kg,Livre,,,,
,"-  Aminoaldeídos,  aminocetonas  e  aminoquinonas,  excepto  de
funções oxigenadas diferentes; sais destes produtos:",,,,,,
2922.31.00,"-- Anfepramona (DCI), metadona (DCI) e normetadona (DCI); sais
destes produtos……………………………….…...",Kg,Livre,,,,
2922.39.00,-- Outros…………………………………..………………….,Kg,Livre,,,,
,"- Aminoácidos, excepto os que contenham mais de um tipo de
função oxigenada, seus ésteres; sais destes produtos:",,,,,,
2922.41.00,-- Lisina e seus ésteres; sais destes produtos……….………,Kg,Livre,,,,
2922.42.00,-- Ácido glutâmico e seus sais……………….……………...,Kg,Livre,,,,
2922.43.00,-- Ácido antranílico e seus sais…………………….………..,Kg,Livre,,,,
2922.44.00,-- Tilidina (DCI) e seus sais………………………….……...,Kg,Livre,,,,
2922.49.00,-- Outros………………………………………………..…….,Kg,Livre,,,,
2922.50.00,"- Aminoálcoois-fenóis, aminoácidos-fenóis e outros compostos aminados de funções oxigenadas……",Kg,Livre,,,,
29.23,"Sais e hidróxidos de amónio quaternários; lecitinas e outros fosfoaminolípidos, de constituição química definida ou não.",,,,,,
2923.10.00,- Colina e seus sais…………………………….…………….,Kg,Livre,,,,
2923.20.00,- Lecitinas e outros fosfoaminolípidos……………….……..,Kg,Livre,,,,
2923.30.00,- Perfuoro-octanossulfonato de tetraetilamónio……………….,Kg,Livre,,,,
2923.40.00,- Perfuoro-octanossulfonato de didecildimetilamónio………,Kg,Livre,,,,
2923.90.00,- Outros………………………………………………………..,Kg,Livre,,,,
29.24,Compostos de função carboxiamida; compostos de função amida do ácido carbónico.,,,,,,
,- Amidas (incluindo os carbamatos) acíclicas e seus derivados; sais destes produtos:,,,,,,
2924.11.00,-- Meprobamato (DCI)……………..………………………...,Kg,Livre,,,,
2924.12.00,"-- Fluoroacetamida (ISO), fosfamidona (ISO) e monocrotofos (ISO)………",Kg,Livre,,,,
2924.19.00,-- Outros…………………………..………………………….,Kg,Livre,,,,
,-  Amidas (incluindo os carbamatos) cíclicas e seus derivados; sais destes produtos:,,,,,,
2924.21.00,-- Ureínas e seus derivados; sais destes produtos………………,Kg,Livre,,,,
2924.23.00,-- Ácido 2-acetamidobenzoico (ácido N-acetilantranílico) e seus sais………………,Kg,Livre,,,,
2924.24.00,-- Etinamato (DCI)……………………….………………….,Kg,Livre,,,,
2924.25.00,-- Alacloro (ISO)…………………………….……………….,Kg,Livre,,,,
2924.29.00,-- Outros……………………….…………………………….,Kg,Livre,,,,
29.25,Compostos de função carboxiimida (incluindo a sacarina e seus sais) ou de função imina.,,,,,,
,- Imidas e seus derivados; sais destes produtos:,,,,,,
2925.11.00,-- Sacarina e seus sais……………………….………………,Kg,Livre,,,,
2925.12.00,-- Glutetimida (DCI)………………………..……………….,Kg,Livre,,,,
2925.19.00,-- Outros………………………….………………………….,Kg,Livre,,,,
,- Iminas e seus derivados; sais destes produtos:,,,,,,
2925.21.00,-- Clorodimeformo (ISO)…………………………………...,Kg,Livre,,,,
2925.29.00,-- Outros……………………………….…………………….,Kg,Livre,,,,
29.26,Compostos de função nitrilo.,,,,,,
2926.10.00,- Acrilonitrilo……………………………..………………….,Kg,Livre,,,,
2926.20.00,- 1-Cianoguanidina (diciandiamida)………………….……..,Kg,Livre,,,,
2926.30.00,"- Fenproporex (DCI) e seus sais; intermediário da metadona (DCI) (4-ciano-2-dimetilamino-4,4-difenilbutano)……………",Kg,Livre,,,,
2926.40.00,- Alfa-Fenilacetoacetonitrilo………………………….……..,Kg,Livre,,,,
2926.90.00,- Outros…………………………………………..…………..,Kg,Livre,,,,
2927.00.00,"Compostos diazoicos, azóicos ou azóxicos………………...",Kg,Livre,,,,
2928.00.00,Derivados orgânicos da hidrazina e da hidroxilamina………,Kg,Livre,,,,
29.29,Compostos de outras funções azotadas (nitrogenadas).,,,,,,
2929.10.00,- Isocianatos…………………………………………………...,Kg,Livre,,,,
2929.90.00,- Outros………………………………………………………..,Kg,Livre,,,,
,"X. COMPOSTOS ORGANO-INORGÂNICOS, COMPOSTOS
HETEROCÍCLICOS, ÁCIDOS NUCLEICOS E SEUS SAIS, E SULFONAMIDAS",,,,,,
29.30,Tiocompostos orgânicos.,,,,,,
2930.10.00,"2-(N,N-Dimetilamino) etanotiol……………………………………",Kg,Livre,,,,
2930.20.00,- Tiocarbamatos e ditiocarbamatos………………….………,Kg,Livre,,,,
2930.30.00,"- Mono-, di- ou tetrassulfuretos de tiourama……………….",Kg,Livre,,,,
2930.40.00,- Metionina……………………………………..…………….,Kg,Livre,,,,
2930.60.00,"- 2-(N,N-Dietilamino)etanotiol…………………..…………..",Kg,Livre,,,,
2930.70.00,-Sulfureto de bis (2-hidroxietil) (tiodiglicol (DCI))…………,Kg,Livre,,,,
2930.80.00,"-Aldicarbe (ISO), captafol (ISO) e metamidofos (ISO)……",Kg,Livre,,,,
2930.90,- Outros:,,,,,,
2930.90.10,- - Phorate (ISO),Kg,Livre,,,,
2930.90.90,- - Outros……………………………………………………………………………….,Kg,Livre,,,,
29.31,Outros compostos organo-inorgânicos.,,,,,,
2931.10.00,- Tetrametilo de chumbo tetraetilo de chumbo ……………..…..,Kg,Livre,,,,
2931.20.00,- Compostos de tributilestanho…………………………..….......,Kg,Livre,,,,
,- Derivados organofosforados não halogenados:,,,,,,
2931.41.00,--Metilfosfonato de dimetilo………………………………….,Kg,Livre,,,,
2931.42.00,--Propilfosfonato de dimetilo…………………………………,Kg,Livre,,,,
2931.43.00,--Etilfosfonato de dietilo……………………………………...,Kg,Livre,,,,
2931.44.00,-- Ácido metilfosfónico …………..,Kg,Livre,,,,
2931.45.00,--Sal do ácido metilfosfónico e de (aminoiminometil)ureia(1:1)…..,Kg,Livre,,,,
2931.46.00,"--2,4,6-trióxido de 2,4,6-tripropil-1,3,5,2,4,6-trioxatrifosfinano……",Kg,Livre,,,,
2931.47.00,"-- Metilfosfonato de bis (5-etil-2-metil-2-óxido-1,3,2-dioxafosfinan-
5-il) metil metilo……………………………………...",Kg,Livre,,,,
2931.48.00,"-- 3,9- Dióxico de 3,9-dimetil-2,4,8,10-tetraoxa-3,9-difosfaspiro
[5.5] undecano. ………………………………………………",Kg,Livre,,,,
2931.49.00,--Outros……………………………………………………….,Kg,Livre,,,,
,-  Derivados organofosforados halogenados:,,,,,,
2931.51.00,--  Dicloreto metilfosfónico,Kg,Livre,,,,
2931.52.00,--  Dicloreto propilfosfónico,Kg,Livre,,,,
2931.53.00,--  Metilfosfotionato    de    O-(3-cloropropil)    O-[4-nitro-3-,Kg,Livre,,,,
,(trifluorometil)fenilo],,,,,,
2931.54.00,--  Triclorfon (ISO),Kg,Livre,,,,
2931.59.00,--  Outros,Kg,Livre,,,,
2931.90.00,- Outros……………………………………..………………...,Kg,Livre,,,,
29.32,Compostos heterocíclicos exclusivamente de heteroátomo(s) de oxigénio.,,,,,,
,- Compostos cuja estrutura contém um ciclo furano (hidrogenado ou não) não condensado:,,,,,,
2932.11.00,-- Tetra-hidrofurano…………………………….……………..,Kg,Livre,,,,
2932.12.00,-- 2-Furaldeído (furfural)………………………..………….,Kg,Livre,,,,
2932.13.00,-- Álcool furfurílico e álcool tetra-hidrofurfurílico……………,Kg,Livre,,,,
2932.14.00,-- Sucralose………………………………………..…………,Kg,Livre,,,,
2932.19.00,-- Outros………………………………………………………,Kg,Livre,,,,
2932.20.00,- Lactonas……………………………………………………..,Kg,Livre,,,,
,- Outros:,,,,,,
2932.91.00,-- Isosafrol……………………………………………..…….,Kg,Livre,,,,
2932.92.00,"-- 1-(1,3-Benzodioxol-5-il) propan-2-ona…………….……",Kg,Livre,,,,
2932.93.00,-- Piperonal………………………………………..…………,Kg,Livre,,,,
2932.94.00,-- Safrol………………………………………..…………….,Kg,Livre,,,,
2932.95.00,-- Tetra-hidrocanabinóis (todos os isómeros)…………….…..,Kg,Livre,,,,
2932.96.00,-- Carbofurano (ISO)……………………………………,Kg,Livre ,,,,
2932.99.00,-- Outros………………………………………………………,Kg,Livre,,,,
29.33,Compostos heterocíclicos exclusivamente de heteroátomo(s) de azoto (nitrogénio).,,,,,,
,-  Compostos cuja estrutura contém um ciclo pirazol (hidrogenado ou não) não condensado:,,,,,,
2933.11.00,-- Fenazona (antipirina) e seus derivados…………….…….,Kg,Livre,,,,
2933.19.00,-- Outros……………………………………………..………,Kg,Livre,,,,
,- Compostos cuja estrutura contém um ciclo imidazol (hidrogenado ou não) não condensado:,,,,,,
